"grid","year","effort","catch.kg","depth","swept.area.km2","grid.area.km2"
"742",2000,1,120,797.703,6.72276,566.162263486694
"742",2000,1,50,662.343,6.86166,566.162263486694
"742",2000,1,543,637.432,7.6395,566.162263486694
"743",2000,1,0,724.092,11.781189334,566.162263486694
"743",2000,1,343,635.901,8.4729,566.162263486694
"744",2000,1,0,495.805,0.9723,566.162263486694
"744",2000,1,0,528.161,3.7503,566.162263486694
"744",2000,1,200,648.612,8.334,566.162263486694
"744",2000,1,200,588.311,7.5006,566.162263486694
"744",2000,1,58,515.356,6.3894,566.162263486694
"744",2000,1,126,502.775,6.2505,566.162263486694
"744",2000,1,0,717.336,4.3059,566.162263486694
"744",2000,1,0,492.449,9.5841,566.162263486694
"745",2000,1,10,465.882,6.945,566.162263486694
"745",2000,1,0,419.594,4.33368,566.162263486694
"745",2000,1,0,491.822,4.41702,566.162263486694
"745",2000,1,0,419.594,3.80586,566.162263486694
"747",2000,1,20,435.391,6.6672,566.162263486694
"747",2000,1,557,482.038,11.8528,566.162263486694
"747",2000,1,0,312.205,7.284533334,566.162263486694
"747",2000,1,60,629.533,7.02834,566.162263486694
"748",2000,1,330,310.445,8.8896,566.162263486694
"748",2000,1,160,587.807,9.48224,566.162263486694
"748",2000,1,26,493.305,7.901866666,566.162263486694
"748",2000,1,202,435.391,6.716586666,566.162263486694
"748",2000,1,0,293.09,7.975946666,566.162263486694
"748",2000,1,0,293.09,5.9264,566.162263486694
"749",2000,1,90,578.208,6.86166,566.162263486694
"750",2000,1,0,451.36,12.717066666,566.162263486694
"757",2000,1,0,450.543,8.1951,566.162263486694
"759",2000,1,0,678.413,7.58394,566.162263486694
"759",2000,1,100,497.637,6.6672,566.162263486694
"760",2000,1,0,443.636,7.6395,566.162263486694
"761",2000,1,0,597.211,8.4729,566.162263486694
"761",2000,1,649,738.856,6.44496,566.162263486694
"761",2000,1,306,611.913,8.334,566.162263486694
"761",2000,1,60,753.632,6.6672,566.162263486694
"761",2000,1,1080,811.398,6.1116,566.162263486694
"761",2000,1,105,726.958,9.3063,566.162263486694
"761",2000,1,210,738.856,8.8896,566.162263486694
"761",2000,1,310,627.33,7.6395,566.162263486694
"761",2000,1,38,537.915,7.5006,566.162263486694
"761",2000,1,80,589.389,5.9727,566.162263486694
"762",2000,1,84,624.356,8.334,566.162263486694
"762",2000,1,6,620.056,6.8061,566.162263486694
